psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
0.033425,0.3377,0.4850,5.4996,21.9395,1,5.053887e-01,3.348275e-01,4.575000e-01,8.764441e-02,1.084986e-01,1.305300e+01
-0.006904,0.2101,0.4807,5.2618,83.2609,1,5.501738e-01,5.677865e-01,1.219500e+00,5.173104e-01,5.673001e-01,1.567500e+00
-0.073116,0.2477,0.5501,1.5890,25.0116,1,5.284773e-01,3.777137e-01,7.035000e-01,2.329670e-01,2.655328e-01,4.233000e+00
-0.007178,0.1799,0.3858,1.8911,27.8268,1,5.378343e-01,4.128446e-01,8.625000e-01,2.251850e-01,2.726398e-01,7.020000e+00
-0.035042,0.2056,0.1973,1.1500,40.0770,1,5.462781e-01,4.430515e-01,8.175000e-01,2.763228e-01,3.357158e-01,4.908000e+00
-0.183920,0.2136,0.5714,2.6324,10.5277,1,5.145172e-01,3.233532e-01,1.032000e+00,3.418295e-01,2.990112e-01,2.917500e+00
-0.007259,0.2268,0.3559,2.6725,41.7609,1,5.438541e-01,4.368534e-01,7.650000e-01,2.794051e-01,3.355901e-01,4.306500e+00
-0.026710,0.3348,0.1869,4.7994,105.3441,1,5.335370e-01,5.217652e-01,6.630000e-01,4.705065e-01,5.191152e-01,9.600000e-01
0.002903,0.1749,0.2132,1.5299,14.8613,1,5.220237e-01,3.690401e-01,8.340000e-01,1.303446e-01,1.601289e-01,1.288500e+01
-0.041806,0.1152,0.5008,3.3919,25.5732,1,5.382492e-01,4.422021e-01,1.267500e+00,3.802388e-01,4.143626e-01,3.607500e+00
-0.194904,0.3487,0.5558,1.1839,65.0925,1,5.341331e-01,4.185485e-01,5.340000e-01,3.757942e-01,3.926719e-01,1.275000e+00
-0.135256,0.1890,0.1566,1.3998,47.5260,1,5.385438e-01,5.126809e-01,1.104000e+00,4.537664e-01,5.067967e-01,1.935000e+00
0.002287,0.1217,0.5247,2.9505,57.7162,1,5.743182e-01,5.370165e-01,1.198500e+00,4.080969e-01,4.921924e-01,4.654500e+00
-0.000391,0.2103,0.2903,3.8850,6.1127,1,5.062449e-01,3.329679e-01,7.365000e-01,1.050653e-01,1.259385e-01,1.136250e+01
-0.000781,0.2566,0.5773,3.2652,99.9715,1,5.725973e-01,5.393272e-01,7.980000e-01,4.260507e-01,5.067801e-01,2.379000e+00
-0.158410,0.2939,0.2690,1.1655,59.4606,1,5.398614e-01,4.612463e-01,6.690000e-01,3.818025e-01,4.322028e-01,1.699500e+00
0.002333,0.2841,0.4171,5.4939,25.9917,1,5.214969e-01,3.755469e-01,5.880000e-01,2.021061e-01,2.384379e-01,4.152000e+00
0.001984,0.2338,0.4977,1.0516,145.4197,1,6.008670e-01,6.251526e-01,9.510000e-01,4.907331e-01,6.016624e-01,3.028500e+00
-0.005410,0.1945,0.4403,4.2815,47.5450,1,5.515946e-01,4.744786e-01,9.240000e-01,3.623937e-01,4.247765e-01,3.343500e+00
-0.049246,0.2511,0.2048,1.4771,47.6973,1,5.443676e-01,4.456646e-01,7.140000e-01,3.031356e-01,3.633398e-01,3.246000e+00
0.009477,0.1050,0.3164,5.4629,94.1837,1,6.055679e-01,6.443240e-01,1.473000e+00,5.004779e-01,6.194236e-01,6.834000e+00
-0.052423,0.2798,0.5728,2.0312,57.5809,1,5.450490e-01,4.469096e-01,6.915000e-01,3.589489e-01,4.032317e-01,2.175000e+00
0.009799,0.2973,0.1028,2.2611,24.7885,1,5.195399e-01,3.669981e-01,5.355000e-01,1.300415e-01,1.602704e-01,7.077000e+00
-0.014318,0.3194,0.4336,4.9665,29.2013,1,5.200275e-01,3.688048e-01,5.205000e-01,2.244611e-01,2.563888e-01,2.854500e+00
0.015607,0.2556,0.3074,1.3934,33.3673,1,5.322616e-01,3.972991e-01,6.450000e-01,1.581839e-01,1.951681e-01,9.520500e+00
-0.048625,0.3049,0.4805,5.8152,19.4515,1,5.154074e-01,3.452086e-01,6.180000e-01,2.908705e-01,2.919871e-01,2.217000e+00
-0.041980,0.3076,0.5717,1.0647,84.2705,1,5.553127e-01,4.679056e-01,5.925000e-01,3.323478e-01,3.943438e-01,2.440500e+00
